address	balance
1Ja7G9JJRw8w8WWnMzw7PwYehhiZmhESkC	800000006017
1LuEe5Xkf1eA493SvsKwjPTS9RkW9JV9N2	800000006017
1CptxmzfRyU2rF3VJ6q8wa2tkh3cm82p9P	800000005470
1PnsNtAqmHQKxyqKS843J9aegdJsXr5rpD	800000005470
1JnfbQerGjFHVq28945y1bhoUHpn6vKM9v	800000003829
1AXskHt4ZwVZLonZV8BMDxh4V65ec41KMJ	800000003829
1BcAtWddaU1jHWgQvM7dpM5SefoVgUHEuC	799750183906
33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ	796808931931
1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD	795200000000
15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX	794106426123
1B4U28Yc1JmSQbpzzSfavEskTPMvBRphyD	788081898694
34ovCavdkQgEYbrJk9Q1onhK7uWqq6J7DC	787618010350
1KHw7yzqoWto1DCGqn7QihoLmzbYWCqNcR	780926104134
1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGw	774319330080
14vbdGfYS7UKMvc4334UZDvTMPFA2G7zCB	774319330080
1B1gTRphFdSx5MBRgKfh2SRbM6XhzEfVTX	772070415019
3HCdgNiAsjidcGx4eeMK9AXvXBfrnteunW	769999879638
1JECFWTZsRw65y65DEVR2djXv2KMYfuo7A	762591027396
1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5	762591027396
1361wC48gW19mKAJmAkdXScLZKYdXgViS9	762591026730
1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8M	762591026730
1Mt6STNGoHGuDziUSCagqTGNGrbDFSBxRn	762591026730
3CsoguAb6Jz2dsSEYp8Mn4xJ34LC7fJz9g	762017333102
1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp	751938483753
bc1qk2q9ptkvfrtt3769hh85zvq88jyrulk6zgys2h	750019837696
1JNKYvkrYHEsUXnpczd4BRCcv4LAiMg32g	749995396591
1FZcb6BU1ZbHQJcby7vDF2Na1z9UmkGSSG	744116506222
1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2	744116506222
19tiUa9nsPTgaqWNHaM9QyCfv4Wm9dVeYa	744116506222
1C1sUtw6fYa1Yr5wexrH2ayT1ZykD9Sobx	744116506222
19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ	744116506222
18SN8PV997oDGtYmTPPD55GDaPtNNEGWeu	731870503659
1JfXLzQvYPZHNzX4vhH6aoetGDfcPD1YEX	730000303048
